,commenter,comments,publishedAt,totalReplyCount
2625,ChequeSquad,YOUR THE WORST SINGER OF ALL TIME,2023-10-19T00:32:42Z,0
2626,Chiara Macalintal,❤️,2023-10-19T00:32:43Z,0
2627,B.F.D.W,Omg,2023-10-19T00:32:42Z,0
2628,paulina Moralejo,QUE,2023-10-19T00:32:42Z,0
2629,Kimby,😍😍😍,2023-10-19T00:32:42Z,0
2630,ItsMads,Taylor what is this 🤨,2023-10-19T00:32:42Z,0
2631,Jonathan Mukeba,Mother we are waiting for a clip,2023-10-19T00:32:42Z,0
2632,drewzvsp ,"LOVING THIS REMIX TAYLOR! ADDED TO PLAYLIST NOW, YOU NEVER DISAPPOINT! CANT WAIT FOR 1989 TV",2023-10-19T00:32:42Z,0
2633,Alexandra Spooner,BELLOOOOO❤❤❤,2023-10-19T00:32:42Z,0
2634,Snaggle Puss,🩵,2023-10-19T00:32:42Z,0
2635,Brenda Chaves,❤❤❤,2023-10-19T00:32:42Z,0
2636,mia,OMG LOVE,2023-10-19T00:32:41Z,0
2637,Shelbie Downer,😳,2023-10-19T00:32:41Z,0
2638,Lorena Santillo,AAAAAAAAAA,2023-10-19T00:32:41Z,0
2639,★ 𝗺𝘂𝘀𝗸𝘃𝗳𝘅 ★,YESSS TAYLOR,2023-10-19T00:32:41Z,0
2640,Makenzie_ Anne,AGAHAHAHAHA,2023-10-19T00:32:41Z,0
2641,starsaroundmyscars,OMG TAYLOR YOU DID NOT,2023-10-19T00:32:41Z,0
2642,Meredith Grey,YESSS MOTHER GET THAT NUMBER 1,2023-10-19T00:32:41Z,0
2643,Maryam Shaaban,😭,2023-10-19T00:32:41Z,0
2644,Maria vitoria Sousa alves,Do nada!!,2023-10-19T00:32:41Z,0
2645,dana,Mommy i love you,2023-10-19T00:32:41Z,0
2646,Lani’s Lifestyle ,YAYYYY EARLYYYY,2023-10-19T00:32:41Z,0
2647,Evangelina Arenivar,What cc,2023-10-19T00:32:41Z,0
2648,Ankita Pandey,WHAT DOES THIS MEAN TAYLOR,2023-10-19T00:32:41Z,0
2649,Ignacia Alejandra,U have to be kiddin blondie KSBSKDBDKDBSKBSKSBS,2023-10-19T00:32:41Z,0
2650,Just Music,Omgggggggggg,2023-10-19T00:32:40Z,0
2651,Angie Paz,AAAAAAAAA,2023-10-19T00:32:41Z,0
2652,LisaDaVonne,I clicked so fast!! I love you Taylor!!!,2023-10-19T00:32:40Z,0
2653,Lacris uwu,????,2023-10-19T00:32:40Z,0
2654,Jesús Emmanuel Quintero,OMG OMG OMG 🎉🎉🎉🎉,2023-10-19T00:32:40Z,0
2655,Taylor Gibson,❤,2023-10-19T00:32:40Z,0
2656,Sabrina Araújo,🎉🎉🎉🎉❤❤❤❤❤,2023-10-19T00:32:40Z,0
2657,Kaylin Cat,I LOVE YOU TAYLOR SWIFT EVER SINCE I WAS 7 YEARS OLD ❤❤❤❤❤❤❤❤❤❤❤,2023-10-19T00:32:40Z,0
2658,Martha Gámez,what,2023-10-19T00:32:40Z,0
2659,Someting,Why now it ain’t even summer anymore,2023-10-19T00:32:40Z,0
2660,Yolomanuts,LIVE LAUGH LOVE TAYLOR,2023-10-19T00:32:40Z,0
2661,Cauã Lima,te amo mamãe,2023-10-19T00:32:40Z,0
2662,Tutiss,"Que es esto alison? No importa, te amo",2023-10-19T00:32:53Z,0
2663,yunanarts,"Amazing, best remix :D",2023-10-19T00:32:39Z,0
2664,Taylor's lover 💓,TAYLOR??,2023-10-19T00:32:39Z,0
2665,Second Shadow,OMG I SAW THSI AND IM OBSESSED,2023-10-19T00:32:39Z,0
2666,ShakeItSwiftie *FANPAGE*,WHAT,2023-10-19T00:32:39Z,0
2667,what,AHHH,2023-10-19T00:32:39Z,0
2668,luvlymari,AHHH I LOVE U TAYLORR,2023-10-19T00:32:39Z,0
2669,Alexsandra de Carvalho Blaut,AMIGA DO NADA MEU DEUS,2023-10-19T00:32:40Z,0
2670,Pau Echeluce,❤❤❤❤,2023-10-19T00:32:39Z,0
2671,LeBlanc,Así nomás,2023-10-19T00:32:39Z,0
2672,Spiceables #stopanimaltesting,cruel summer mv when?,2023-10-19T00:32:39Z,126
2673,McKenna Hope,OH MY GOSH 🩷🩷,2023-10-19T00:32:39Z,0
2674,Andrea Segura,RUBIA QUEEEE??????,2023-10-19T00:32:39Z,0
2675,Summer,This slappppps!!,2023-10-19T00:32:39Z,0
2676,Dania Corace,Omg!!!!!!!!!!!😮 ❤❤❤❤,2023-10-19T00:32:39Z,0
2677,Hey' K-1dols °•,Ily Taylor 🫶🏼,2023-10-19T00:32:39Z,0
2678,Nyx,Hihi,2023-10-19T00:32:39Z,0
2679,Bárbara Figueiredo,OMGGGG ❤❤,2023-10-19T00:32:39Z,0
2680,Karla Merrie Aguilar Penagos,"Taylor I love you so much, I love everything you are 😻😻",2023-10-19T00:32:38Z,0
2681,Justin Neuman,WHATTTT,2023-10-19T00:32:38Z,0
2682,Karla Mahay,I love you Taylor 🥺❤️from Mérida Yucatán.,2023-10-19T00:32:38Z,0
2683,🪼𝐜𝐡𝐚𝐬𝐞💥,OMG OMGGGG,2023-10-19T00:32:38Z,0
2684,Jariela Solorzano,Te amo Tay,2023-10-19T00:32:38Z,0
2685,Francisco Vitor,SHES WOKE,2023-10-19T00:32:38Z,0
2686,𝑃𝑜𝑝𝑖𝑠 𝑙𝑎𝑛𝑏𝑒𝑟𝑡,❤❤,2023-10-19T00:32:38Z,0
2687,victoria jauregui,Hii 👋👋👋,2023-10-19T00:32:38Z,0
2688,Heartz4taylor,HERE EARLY,2023-10-19T00:32:38Z,0
2689,Amalia Shahira,Next cruel summer MV pls,2023-10-19T00:32:38Z,0
2690,Maiden of Meme,yay :DDD,2023-10-19T00:32:37Z,0
2691,Jade,SLAY,2023-10-19T00:32:37Z,0
2692,somoclaren .,❤,2023-10-19T00:32:37Z,0
2693,Tralvexxo,How does this already have 3k likes,2023-10-19T00:32:37Z,0
2694,Remy 🤘💙,OMG,2023-10-19T00:32:37Z,0
2695,cristiny,Diva te amo ficou diva,2023-10-19T00:32:37Z,0
2696,Than Sereyboth,FAV SONG🫶,2023-10-19T00:32:37Z,0
2697,이삭,WAIT WAIT??,2023-10-19T00:32:37Z,0
2698,Manisha chhetri,I love it❤,2023-10-19T00:32:37Z,0
2699,Lady Naja,Omg!! Love!!! 💞,2023-10-19T00:32:36Z,0
2700,Ana Carolina,I LOVE YOUUUUU,2023-10-19T00:32:36Z,0
2701,Francisco Malta,MDS,2023-10-19T00:32:36Z,0
2702,K slays,She is such a queen😊,2023-10-19T00:32:36Z,0
2703,jules,iloveyou taylorr,2023-10-19T00:32:36Z,0
2704,amity_blight,TAYLOR SLAYS NGL,2023-10-19T00:32:36Z,0
2705,flowers in pansies 🧠💘,QUEEE,2023-10-19T00:32:36Z,0
